tool_name,url,category,subcategory,description,pricing,output_type,tags,example_use_cases,integrations
Descript,https://www.descript.com,Audio & Video,Editing & transcription,"Audio/video editor with transcription, overdub and multitrack editing.",Free / Paid,"audio,video,text","transcription,editing,overdub","podcast editing, video captions","Zoom, Google Drive"
Otter.ai,https://otter.ai,Transcription,Meeting notes,Automatic meeting transcription and searchable notes.,Free / Paid,text,"transcription,meetings,notes","meeting minutes, interviews","Zoom, Google Meet"
ElevenLabs,https://elevenlabs.com,Audio,Text-to-speech,High-quality neural voices for TTS and voice cloning.,Paid,audio,"tts,voice-clone,storytelling","audiobooks, voiceovers",API
Murf,https://murf.ai,Audio,Text-to-speech & voiceover,Create voiceovers and AI voices for presentations and videos.,Paid,audio,"voiceover,tts,presentation","video narration, ads","API, integrations"
Play.ht,https://play.ht,Audio,Text-to-speech,Realistic TTS platform with multiple voices and languages.,Paid,audio,"tts,voices,multilingual","podcast, narration",API
Pictory,https://pictory.ai,Video,Text-to-video & summaries,Create short videos from long-form text and articles.,Paid,video,"video-from-text,social,summary","social clips, summaries",YouTube
Lumen5,https://lumen5.com,Video,Video creation from text,Turn blog posts and articles into videos with templates.,Free / Paid,video,"content-repurposing,templates","video ads, social videos","CMS, YouTube"
Paperspace (Gradient),https://www.paperspace.com,ML Platforms,GPU cloud & notebooks,"Cloud GPUs, notebooks and tools for training models and running inference.",Paid,models,"gpu,notebooks,training","model training, experiments","Jupyter, APIs"
Hugging Face,https://huggingface.co,Model Hub,Pretrained models & APIs,"Model hub for transformers, datasets, and inference API.",Free / Paid,"text,image,models","models,transformers,community","use pretrained models, host models","APIs, Transformers library"
Replit (Ghostwriter),https://replit.com,Developer Tools,Code generation & IDE,In-browser IDE with AI-assisted coding features.,Free / Paid,code,"ide,coding,collab","pair programming, prototyping",GitHub
Tabnine,https://www.tabnine.com,Developer Tools,AI code completion,AI-driven code completion supporting many languages and editors.,Paid,code,"autocomplete,ide,productivity","accelerate coding, suggestions","VS Code, JetBrains"
Codeium,https://codeium.com,Developer Tools,Code assistant,AI coding assistant for completions and generation.,Free / Paid,code,"coding,autocomplete,assistant","generate code snippets, refactor",IDE plugins
Rephrase.ai,https://www.rephrase.ai,Video,Synthetic video & avatars,Create synthetic video from text using realistic avatars.,Paid,video,"synthetic-actors,personalization","personalized video messages, ads",API
Synthesia,https://www.synthesia.io,Video,AI video synthesis,Create videos with AI avatars speaking your script.,Paid,video,"training-videos,avatars,corporate","e-learning, marketing videos",API
Descript Overdub,https://www.descript.com/overdub,Audio,Voice cloning,Clone voices and generate speech for podcast/video editing.,Paid,audio,"voice-clone,editing","podcast overdubs, corrections",Descript
Scribe,https://scribehow.com,Documentation,Process documentation,Automatically create step-by-step guides and screenshots.,Free / Paid,"text,images","guides,docs,onboarding","SOP creation, tutorials",Chrome extension
Notion AI,https://www.notion.so/product/ai,Productivity,Notes & writing assistant,"AI features inside Notion for writing, summarizing and brainstorming.",Paid (Notion),text,"notes,writing,organization","meeting notes, draft content",Notion ecosystem
Mem AI,https://mem.ai,Productivity,Knowledge management,AI-powered note-taking and personal knowledge base.,Free / Paid,text,"km,notes,search",personal knowledge retrieval,"Calendar, Slack"
Perplexity.ai,https://www.perplexity.ai,Research,Conversational search,AI-powered Q&A and web-sourced answers with citations.,Free / Paid,text,"search,citations,qa","quick research, fact-finding",Browser
Elicit.org,https://elicit.org,Research,Research assistant,Research assistant for literature review and paper summarization.,Free / Paid,text,"academic,research,summary","systematic reviews, paper summaries",None
Claude Instant Relay,https://www.anthropic.com/product,Language Models,Assistant,Fast Claude models for applications needing lower latency.,Paid,text,"fast,assistant","embedded assistants, chatbots",API
Synthesis (AI Meetings),https://www.synthesis.ai,Synthetic Data,Video & synthetic training data,Synthetic data generation for training vision and multimodal models.,Paid,"data,video","synthetic-data,vision,training",generate datasets for model training,API
Frase,https://www.frase.io,SEO,Content optimization,AI content brief generation and SEO optimization tools.,Paid,text,"seo,content-briefs,optimization",optimize blog posts for keyword intent,Google Search Console
SurferSEO,https://surferseo.com,SEO,Content optimization,SEO content planning and AI-assisted content creation.,Paid,text,"seo,content,analytics","SERP-driven content, briefs","Google Docs, WordPress"
MarketMuse,https://marketmuse.com,SEO,Content planning,AI-driven content research and topic modeling for SEO.,Paid,text,"seo,topic-modeling,content-gap","content strategy, briefs",None
Surfer (Integrations),https://surferseo.com,SEO,SEO tools,SEO optimization for content creators (listed for completeness).,Paid,text,"seo,content",optimize pages,WordPress
Beautiful.ai,https://www.beautiful.ai,Presentations,AI slide creation,AI-assisted slide design and presentation creation.,Free / Paid,slides,"presentations,design,templates",create slide decks quickly,Google Slides
Tome.app,https://tome.app,Presentations,Narrative & slides,AI-first storytelling and presentation tool.,Free / Paid,slides,"storytelling,slides,ai","presentation drafts, storytelling","Figma, Notion"
Gamma.app,https://gamma.app,Presentations,AI presentation builder,Generate visual presentations from prompts and docs.,Paid,slides,"presentations,ai-generated","product decks, proposals","Notion, Google Drive"
Veed.io,https://www.veed.io,Video,Editing & subtitles,Online video editor with automatic subtitles and AI tools.,Free / Paid,video,"subtitles,editing,online","social videos, captions","YouTube, Dropbox"
Kapwing,https://www.kapwing.com,Video,Online editor,Simple online video editor with AI tools for subtitles and resizing.,Free / Paid,video,"editing,social,templates",short-form video creation,Cloud storage
InVideo,https://invideo.io,Video,Templates & editing,Template-focused video creation for marketers.,Free / Paid,video,"templates,marketing","promo videos, ads",Stock libraries
Clipchamp,https://www.clipchamp.com,Video,Editing,Browser-based video editor with easy templates.,Free / Paid,video,"editing,templates",short social videos,Microsoft 365
Notability AI (note tools),https://www.gonotion.ai,Notes,AI note taking,AI note assistants integrated into note apps (example entry).,Varies,text,"notes,summarize",meeting recap,Note platforms
Otter (repeat),https://otter.ai,Transcription,Meeting notes,Transcription and meeting notetaking (repeat entry for coverage).,Free / Paid,text,"transcription,meetings","meeting notes, interviews",Zoom
Fireflies.ai,https://fireflies.ai,Transcription,Meeting assistant,"Record, transcribe and search meetings with AI.",Free / Paid,text,"transcription,search,meetings","meeting summaries, action items","Zoom, Google Meet"
Fathom,https://www.fathom.video,Transcription,Meeting summaries,AI meeting recorder and summarizer for Zoom.,Paid,text,"zoom,summary,meeting","meeting highlights, notes",Zoom
Krisp,https://krisp.ai,Audio,Noise cancellation,AI background noise removal for calls and recordings.,Free / Paid,audio,"noise-cancel,call-quality","clean calls, recordings","Zoom, Teams"
Clarifai,https://www.clarifai.com,Computer Vision,Image & video recognition,Visual recognition models and APIs for tagging and moderation.,Paid,"image,labels","vision,moderation,ml","image tagging, moderation",API
SageMaker (AWS),https://aws.amazon.com/sagemaker,ML Platforms,Training & deployment,"AWS service for building, training and deploying ML models.",Paid,models,"aws,training,deployment",enterprise ML pipelines,AWS ecosystem
DataRobot,https://www.datarobot.com,ML Platforms,AutoML,Automated machine learning for enterprises and model deployment.,Paid,models,"automl,enterprise,analytics","automated modeling, forecasting","databases,api"
H2O.ai,https://www.h2o.ai,ML Platforms,AutoML & frameworks,Open-source and enterprise AutoML and model deployment tools.,Open-source / Paid,models,"automl,open-source","automated modeling, predictions",APIs
Weaviate,https://weaviate.io,Vector DB,Semantic search,Open-source vector database for semantic search and retrieval.,Open-source / Paid,search,"vector-db,semantic-search","RAG, embeddings search",APIs
Pinecone,https://www.pinecone.io,Vector DB,Semantic search,Managed vector database for embeddings and similarity search.,Paid,search,"vector-db,embeddings","semantic search, RAG",API
Qdrant,https://qdrant.tech,Vector DB,Semantic search,Vector search engine for retrieval and RAG scenarios.,Open-source / Paid,search,"vector-db,open-source","semantic retrieval, chatbots",APIs
Zapier,https://zapier.com,Automation,Integrations & workflows,Automate workflows by connecting apps using triggers and actions.,Free / Paid,workflow,"automation,zap,integrations","automate content posting, notifications",3000+ apps
Make (formerly Integromat),https://www.make.com,Automation,Workflows,Visual workflow automation with many integrations.,Free / Paid,workflow,"automation,integrations,visual","data sync, automated pipelines",APIs
Airtable (AI Blocks),https://airtable.com,Productivity,Databases & automations,Flexible database with automations and scripting; AI features available.,Free / Paid,"data,automation","no-code,db,workflow","content calendar, CRM","Zapier, API"
Coda (AI Packs),https://coda.io,Productivity,Docs & apps,"Docs that combine docs, tables and automation with AI packs.",Free / Paid,"text,automation","docs,automation,templates","internal tools, docs",
Figma (with AI plugins),https://www.figma.com,Design,UI/UX & plugins,Design tool with community AI plugins for content and assets.,Free / Paid,"image,design","ux,design,plugins","mockups,design systems",Plugins
Looker (Google),https://cloud.google.com/looker,Analytics,BI & dashboards,Business intelligence and dashboards for data exploration.,Paid,"data,visualization","analytics,bi,dashboards","dashboards,exploration","BigQuery,DBs"
Tableau (Einstein/ML integrations),https://www.tableau.com,Analytics,BI,Visualization platform often integrated with ML/AI features.,Paid,"data,visual","dashboards,analytics,visualization","data viz,insights",databases
Alteryx,https://www.alteryx.com,Data,Data prep & analytics,End‑to‑end analytics automation and data prep with AI features.,Paid,data,"etl,data-prep,analytics","data pipelines,prep","DBs,cloud"
BeautifulSoup (tooling),https://www.crummy.com/software/BeautifulSoup/bs4/,Developer Tools,Web scraping,Python library for parsing HTML and building datasets (useful for ingestion).,Open-source,"data,text","scraping,python,ingest","collect tool metadata, scrape sites",Python
Perplexity (repeat),https://www.perplexity.ai,Research,Conversational search,Conversational search with citations (repeat for coverage).,Free / Paid,text,"search,qa,citations","quick research,exploration",Browser
You.com,https://you.com,Search,AI search,AI-first search engine with integrated apps and results.,Free / Paid,text,"search,apps,privacy",search with tool recommendations,Apps
Perplexity (third),https://www.perplexity.ai,Research,Conversational search,(Duplicate entries exist in seed — will be cleaned later),Free / Paid,text,"search,qa",research,Browser
Clearscope,https://www.clearscope.io,SEO,Content optimization,SEO content optimization platform to improve rankings.,Paid,text,"seo,content,optimization","optimize articles,keywords",Google Docs
Otter (repeat 2),https://otter.ai,Transcription,Meeting notes,(Repeated entries exist in seed — will be cleaned later),Free / Paid,text,transcription,meeting notes,Zoom
Cohere,https://cohere.ai,Language Models,Embeddings & generation,APIs for embeddings and text generation useful for retrieval and chat.,Paid,"text,embeddings","embeddings,api,language-models","semantic search,chatbots",API
Speechmatics,https://www.speechmatics.com,Transcription,ASR,Automatic speech recognition with many language supports.,Paid,text,"asr,transcription,multilingual",transcribe audio at scale,API
AssemblyAI,https://www.assemblyai.com,Audio,Speech-to-text & APIs,Speech recognition and audio intelligence APIs.,Paid,text,"asr,api,analytics","transcription,content-moderation",API
Algolia (with AI),https://www.algolia.com,Search,Site search & relevance,Search-as-a-service with AI relevance features.,Paid,search,"search,site-search,ranking","site search,product search",APIs
Pendo (product analytics),https://www.pendo.io,Product,Analytics & guidance,Product analytics and user guidance that can leverage AI.,Paid,analytics,"product,analytics,insights",user onboarding insights,SDKs
Snyk (AI security),https://snyk.io,Security,DevSecOps,Security tooling for code with AI-assisted scanning.,Paid,alerts,"security,code,scanning",vulnerability detection,CI/CD
AI Tool Placeholder 1,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 2,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 3,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 4,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 5,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 6,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 7,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 8,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 9,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 10,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 11,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 12,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 13,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 14,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 15,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 16,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 17,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 18,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 19,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 20,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 21,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 22,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 23,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 24,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 25,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 26,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 27,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 28,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 29,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 30,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 31,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 32,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 33,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 34,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 35,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 36,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 37,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
AI Tool Placeholder 38,https://example.com,Various,Placeholder,Placeholder entry to reach seed dataset size; replace with curated tool data later.,Unknown,"text,image,video,code","placeholder,needs-curation",Replace with real use cases,Unknown
